Crop_Year,ANNUAL,Jul-Oct,Nov-Mar,Apr-Jun,Total_Avg,State_Name
1901,3373.2,391.825,187.9,349.5333333,281.1,Andaman and Nicobar Islands
1902,3520.7,461.5,169.05,2185.9,293.3916667,Andaman and Nicobar Islands
1903,2957.4,393.825,133.375,1874,246.45,Andaman and Nicobar Islands
1904,3079.6,426.175,87.525,1977.6,256.6333333,Andaman and Nicobar Islands
1905,2566.7,314.225,101.675,1624.9,213.8916667,Andaman and Nicobar Islands
1906,2534.4,250.075,79.7,1465.8,211.2,Andaman and Nicobar Islands
1907,3347.9,321.575,250.125,1327.1,278.9916667,Andaman and Nicobar Islands
1908,3576.4,445.2,113.575,2303.7,298.0333333,Andaman and Nicobar Islands
1910,2899.4,359.125,107.3,1701,241.6166667,Andaman and Nicobar Islands
1911,2687.2,309.6,231.525,1553.6,223.9333333,Andaman and Nicobar Islands
1912,2960.5,386.025,51.2,1775.2,246.7083333,Andaman and Nicobar Islands
1913,2365.8,338.875,50.125,1596.7,197.15,Andaman and Nicobar Islands
1914,2957.8,440.975,143.95,2007.4,246.4833333,Andaman and Nicobar Islands
1915,2741.3,371.025,144.1,1350.7,228.4416667,Andaman and Nicobar Islands
1916,2937.5,418.3,84.475,1753.6,244.7916667,Andaman and Nicobar Islands
1917,2612.4,385.525,107.375,1605.1,217.7,Andaman and Nicobar Islands
1918,3275,296.65,142.525,1670.4,272.9166667,Andaman and Nicobar Islands
1919,2352.1,215.8,182.125,1219.5,196.0083333,Andaman and Nicobar Islands
1920,2943.2,416.175,91.175,1814.1,245.2666667,Andaman and Nicobar Islands
1921,2606.4,439.75,109.825,1681,217.2,Andaman and Nicobar Islands
1922,3554.2,351.725,203.175,1751,296.1833333,Andaman and Nicobar Islands
1923,3052.2,377.875,74.175,2188,254.35,Andaman and Nicobar Islands
1924,2330.7,341.625,103.8,1296.6,194.225,Andaman and Nicobar Islands
1925,2480.5,242.85,147.4,1385.7,206.7083333,Andaman and Nicobar Islands
1926,3282.2,470.525,182.4,1808.3,273.5166667,Andaman and Nicobar Islands
1927,2442.9,254.75,114.525,1124.8,203.575,Andaman and Nicobar Islands
1928,2998.3,411.775,76.4,1612.8,249.8583333,Andaman and Nicobar Islands
1929,2926.6,341.15,114.45,1540.4,243.8833333,Andaman and Nicobar Islands
1930,3075.1,381.025,119.075,1975.4,256.2583333,Andaman and Nicobar Islands
1931,2357.7,380.75,52.7,1548.2,196.475,Andaman and Nicobar Islands
1932,553.3,0,4.05,0,46.10833333,Andaman and Nicobar Islands
1933,2987.5,417.375,126.475,1973.9,248.9583333,Andaman and Nicobar Islands
1934,3722.8,586.9,73.225,2717.9,310.2333333,Andaman and Nicobar Islands
1935,3154,385.4,100.65,1733.3,262.8333333,Andaman and Nicobar Islands
1936,3038.7,446.6,110.925,2109.8,253.225,Andaman and Nicobar Islands
1937,3591.1,378.575,234.95,1863.8,299.2583333,Andaman and Nicobar Islands
1938,3264.4,395.1,119.85,1930.6,272.0333333,Andaman and Nicobar Islands
1939,2782.5,328.7,75.125,1591.9,231.875,Andaman and Nicobar Islands
1940,3007.5,437.225,138.15,1970.2,250.625,Andaman and Nicobar Islands
1941,2898.2,378.3,148.025,1627.4,241.5166667,Andaman and Nicobar Islands
1942,46.6,0,22,0,3.883333333,Andaman and Nicobar Islands
1946,2791.6,327.9,131.725,1570.6,232.6333333,Andaman and Nicobar Islands
1947,2894.8,289.925,73.125,0,241.2333333,Andaman and Nicobar Islands
1949,3489.6,528.6,22.225,2433.2,290.8,Andaman and Nicobar Islands
1950,2422.2,358.275,87.15,1578.4,201.85,Andaman and Nicobar Islands
1951,3275.1,404.125,161.3,1747.4,272.925,Andaman and Nicobar Islands
1952,3079.9,370.675,124.5,1824.8,256.6583333,Andaman and Nicobar Islands
1953,2722,330.225,98.8,1627.1,226.8333333,Andaman and Nicobar Islands
1954,3449,531.8,73.75,2419.4,287.4166667,Andaman and Nicobar Islands
1955,3349.6,365.9,133.375,1648.3,279.1333333,Andaman and Nicobar Islands
1956,3079.9,429.975,70.475,1604.4,256.6583333,Andaman and Nicobar Islands
1957,2507.2,347.875,49.425,1833.6,208.9333333,Andaman and Nicobar Islands
1958,2807.4,361.225,99.1,1710.4,233.95,Andaman and Nicobar Islands
